variable;value;type;definition;source ;comments
work_deduc_max;1140;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;3132;float;;;
nrtc_age;65;int;;;
nrtc_single;1707;float;;;
nrtc_pension_max;2782;float;;;
nrtc_pension_factor;1.25;float;;;
nrtc_claw_rate;0.1875;float;;;
nrtc_claw_cutoff;33755;float;;;
nrtc_rate;0.15;float;;;
nrtc_base;14890;float;;;
nrtc_disabled;3307;float;;;
ccap_max_age;18;int;;https://www.retraitequebec.gouv.qc.ca/fr/salle_presse/2016/Pages/20161201.aspx;
ccap_claw_rate;0.04;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_DepensesFiscales2017.pdf;
ccap_claw_cutoff_couple;47868;float;;;
ccap_claw_cutoff_single;34824;float;;;
ccap_amount_single_min;337;float;;;
ccap_amount_single_max;845;float;;;
ccap_kid1_min;676;float;;;
ccap_kid1_max;2410;float;;;
ccap_kid23_min;625;float;;;
ccap_kid23_max;1204;float;;;
ccap_kid4p_min;625;float;;;
ccap_kid4p_max;1806;float;;;
chcare_max_age_young;6;int;;
chcare_max_age_old;16;int;;
chcare_young;9000;float;;
chcare_old;5000;float;;
add_chcare_min_income;50920;float;TP-1.D.I(2017-12).pdf;
add_chcare_min_contrib;0.70;float;;
add_chcare_cutoff_income;76380;float;;
add_chcare_max_extra_contrib;12.75;float;;
add_chcare_ndays_year;260;float;;
add_chcare_rate;0.039;float;;
solidarity_max_age_kid;18;int;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_DepensesFiscales2017.pdf;
solidarity_tvq_base;285;float;;
solidarity_housing_kid;118;float;;
solidarity_tvq_couple;285;float;;
solidarity_housing_not_alone;670;float;;
solidarity_tvq_single;136;float;;
solidarity_housing_alone;552;float;;
solidarity_cutoff;33935;float;;
solidarity_rate_total;0.06;float;;
solidarity_rate_tvq;0.03;float;;
witb_max_age;18;int;;
witb_rate_couple_dep;0.25;float;;
witb_rate;0.09;float;;
witb_cut_inc_low_couple;3600;float;;
witb_cut_inc_high_couple;16248;float;;
witb_rate_single_dep;0.30;float;;
witb_cut_inc_low_single;2400;float;;
witb_cut_inc_high_single;10506;float;;
witb_claw_rate;0.10;float;;
exp_work_min_age;63;int;;
exp_work_claw_rate;0.05;float;;
exp_work_cut_inc;33755;float;;
exp_work_rate;0.15;float;;
exp_work_min_inc;5000;float;;
exp_work_max_work_inc_60;0;float;;
exp_work_max_work_inc_61;0;float;;
exp_work_max_work_inc_62;0;float;;
exp_work_max_work_inc_63;4000;float;;
exp_work_max_work_inc_64;6000;float;;
exp_work_max_work_inc_65;8000;float;;
exp_work_age_born_bef51;66;int;;
exp_work_min_amount_born_51;600;float;;
